type,price,loc,kamar_tidur,luas_tanah,luas_bangunan,sertifikasi
Rumah Second,"Rp5,5 M","Penjaringan, Kota Jakarta Utara",2 KT,LT 209m²,LB 193m²,HGB
Rumah Second,Rp18 M,"Mampang Prapatan, Kota Jakarta Selatan",4 KT,LT 738m²,LB 950m²,SHM
Rumah Second,"Rp1,4 M","Duren Sawit, Kota Jakarta Timur",3 KT,LT 41m²,LB 70m²,SHM
Rumah Second,Rp3 M,"Pesanggrahan, Kota Jakarta Selatan",5 KT,LT 210m²,LB 190m²,SHM
Rumah Second,"Rp8,5 M","Kebayoran Lama, Kota Jakarta Selatan",6 KT,LT 130m²,LB 400m²,SHM
Rumah Second,Rp4 M,"Mampang Prapatan, Kota Jakarta Selatan",4 KT,LT 126m²,LB 180m²,SHM
Rumah Second,Rp948 Jt,"Cipayung, Kota Jakarta Timur",3 KT,LT 60m²,LB 54m²,SHM
Rumah Second,Rp225 Jt,"Pesanggrahan, Kota Jakarta Selatan",1 KT,LT 18m²,LB 36m²,SHM
Rumah Second,Rp4 M,"Mampang Prapatan, Kota Jakarta Selatan",4 KT,LT 126m²,LB 180m²,SHM
Rumah Second,"Rp4,5 M","Cengkareng, Kota Jakarta Barat",6 KT,LT 144m²,LB 220m²,SHM
Rumah Second,Rp7 M,"Cakung, Kota Jakarta Timur",8 KT,LT 552m²,LB 700m²,SHM
Rumah Second,"Rp7,3 M","Cempaka Putih, Kota Jakarta Pusat",6 KT,LT 278m²,LB 500m²,HGB
Rumah Second,"Rp1,8 M","Cakung, Kota Jakarta Timur",3 KT,LT 90m²,LB 90m²,SHM
Rumah Second,"Rp5,5 M","Cakung, Kota Jakarta Timur",5 KT,LT 140m²,LB 90m²,Girik
Rumah Second,"Rp2,7 M","Jagakarsa, Kota Jakarta Selatan",4 KT,LT 280m²,LB 90m²,SHM
Rumah Second,Rp750 Jt,"Pancoran, Kota Jakarta Selatan",4 KT,LT 107m²,LB 100m²,SHM
Rumah Second,"Rp1,7 M","Cakung, Kota Jakarta Timur",4 KT,LT 90m²,LB 75m²,SHM
Rumah Second,"Rp2,8 M","Cakung, Kota Jakarta Timur",4 KT,LT 120m²,LB 180m²,SHM
Rumah Second,Rp2 M,"Cakung, Kota Jakarta Timur",3 KT,LT 84m²,LB 79m²,Girik
Rumah Second,Rp848 Jt,"Jatinegara, Kota Jakarta Timur",2 KT,LT 32m²,LB 64m²,SHM
Rumah Second,Rp12 M,"Cilandak, Kota Jakarta Selatan",10 KT,LT 595m²,LB 700m²,SHM
Rumah Second,"Rp1,5 M","Cakung, Kota Jakarta Timur",3 KT,LT 90m²,LB 120m²,SHM
Rumah Second,Rp21 M,"Kebayoran Baru, Kota Jakarta Selatan",4 KT,LT 899m²,LB 467m²,SHM
Rumah Second,"Rp4,2 M","Kembangan, Kota Jakarta Barat",4 KT,LT 120m²,LB 225m²,SHM
Rumah Second,"Rp458,3 Jt","Pulogadung (Pulo Gadung), Kota Jakarta Timur",2 KT,LT 20m²,LB 39m²,SHM
Rumah Second,"Rp3,9 M","Kebayoran Baru, Kota Jakarta Selatan",11 KT,LT 600m²,LB 750m²,SHM
Rumah Second,"Rp1,9 M","Kramatjati (Kramat Jati), Kota Jakarta Timur",4 KT,LT 111m²,LB 140m²,SHM
Rumah Second,"Rp6,5 M","Tanah Abang, Kota Jakarta Pusat",4 KT,LT 126m²,LB 250m²,SHM
Rumah Second,"Rp1,5 M","Pasar Minggu, Kota Jakarta Selatan",3 KT,LT 60m²,LB 120m²,SHM
Rumah Second,"Rp3,5 M","Jagakarsa, Kota Jakarta Selatan",4 KT,LT 294m²,LB 105m²,SHM
Rumah Second,Rp34 M,"Kebayoran Baru, Kota Jakarta Selatan",4 KT,LT 587m²,LB 200m²,SHM
Rumah Second,"Rp36,5 M","Setiabudi (Setia Budi), Kota Jakarta Selatan",4 KT,LT 509m²,LB 650m²,SHM
Rumah Second,"Rp2,7 M","Cakung, Kota Jakarta Timur",3 KT,LT 160m²,LB 250m²,SHM
Rumah Second,Rp10 M,"Senen, Kota Jakarta Pusat",7 KT,LT 422m²,LB 600m²,HGB
Rumah Second,"Rp1,7 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 95m²,LB 160m²,SHM
Rumah Second,Rp12 M,"Pesanggrahan, Kota Jakarta Selatan",7 KT,LT 477m²,LB 650m²,SHM
Rumah Second,"Rp2,3 M","Kembangan, Kota Jakarta Barat",3 KT,LT 96m²,LB 150m²,SHM
Rumah Second,"Rp1,2 M","Cilincing, Kota Jakarta Utara",2 KT,LT 53m²,LB 90m²,HGB
Rumah Second,Rp925 Jt,"Duren Sawit, Kota Jakarta Timur",2 KT,LT 60m²,LB 100m²,SHM
Rumah Second,"Rp1,4 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 65m²,LB 88m²,SHM
Rumah Second,"Rp3,4 M","Jagakarsa, Kota Jakarta Selatan",5 KT,LT 177m²,LB 250m²,SHM
Rumah Second,"Rp6,9 M","Kebon Jeruk, Kota Jakarta Barat",6 KT,LT 330m²,LB 220m²,SHM
Rumah Second,"Rp3,9 M","Kelapa Gading, Kota Jakarta Utara",5 KT,LT 105m²,LB 320m²,SHM
Rumah Second,"Rp1,7 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 70m²,LB 110m²,SHM
Rumah Second,"Rp6,9 M","Kebon Jeruk, Kota Jakarta Barat",6 KT,LT 330m²,LB 220m²,SHM
Rumah Second,"Rp2,3 M","Pasar Minggu, Kota Jakarta Selatan",4 KT,LT 84m²,LB 140m²,SHM
Rumah Second,Rp25 M,"Kebayoran Baru, Kota Jakarta Selatan",5 KT,LT 458m²,LB 500m²,SHM
Rumah Second,"Rp2,1 M","Cakung, Kota Jakarta Timur",4 KT,LT 120m²,LB 240m²,SHM
Rumah Second,"Rp2,3 M","Kembangan, Kota Jakarta Barat",3 KT,LT 96m²,LB 150m²,SHM
Rumah Second,"Rp3,6 M","Pasar Minggu, Kota Jakarta Selatan",5 KT,LT 101m²,LB 220m²,SHM
Rumah Second,Rp195 Jt,"Cilandak, Kota Jakarta Selatan",2 KT,LT 25m²,LB 45m²,
Rumah Second,"Rp34,7 M","Kebayoran Lama, Kota Jakarta Selatan",4 KT,LT 772m²,LB 600m²,SHM
Rumah Second,"Rp6,7 M","Kelapa Gading, Kota Jakarta Utara",6 KT,LT 220m²,LB 235m²,SHM
Rumah Second,Rp255 Jt,"Tebet, Kota Jakarta Selatan",2 KT,LT 25m²,LB 45m²,
Rumah Second,"Rp365,5 Jt","Pasar Minggu, Kota Jakarta Selatan",2 KT,LT 62m²,LB 50m²,SHM
Rumah Second,"Rp2,1 M","Cakung, Kota Jakarta Timur",3 KT,LT 120m²,LB 140m²,SHM
Rumah Second,"Rp2,7 M","Kalideres, Kota Jakarta Barat",4 KT,LT 120m²,LB 240m²,SHM
Rumah Second,"Rp1,2 M","Duren Sawit, Kota Jakarta Timur",3 KT,LT 48m²,LB 80m²,SHM
Rumah Second,"Rp5,5 M","Matraman, Kota Jakarta Timur",12 KT,LT 419m²,LB 350m²,
Rumah Second,"Rp3,6 M","Cilandak, Kota Jakarta Selatan",4 KT,LT 100m²,LB 250m²,SHM
Rumah Second,Rp480 Jt,"Cipayung, Kota Jakarta Timur",2 KT,LT 60m²,LB 60m²,SHM
Rumah Second,"Rp4,8 M","Setiabudi (Setia Budi), Kota Jakarta Selatan",4 KT,LT 166m²,LB 160m²,SHM
Rumah Second,"Rp6,5 M","Penjaringan, Kota Jakarta Utara",4 KT,LT 200m²,LB 400m²,SHM
Rumah Second,Rp378 Jt,"Jagakarsa, Kota Jakarta Selatan",4 KT,LT 41m²,LB 53m²,SHM
Rumah Second,Rp7 M,"Kebon Jeruk, Kota Jakarta Barat",5 KT,LT 240m²,LB 300m²,SHM
Rumah Second,Rp290 Jt,"Matraman, Kota Jakarta Timur",2 KT,LT 26m²,LB 40m²,HGB
Rumah Second,Rp5 M,"Ciracas, Kota Jakarta Timur",3 KT,LT 400m²,LB 150m²,SHM
Rumah Second,"Rp4,9 M","Ciracas, Kota Jakarta Timur",4 KT,LT 170m²,LB 192m²,SHM
Rumah Second,"Rp2,9 M","Duren Sawit, Kota Jakarta Timur",4 KT,LT 108m²,LB 230m²,SHM
Rumah Second,Rp950 Jt,"Jagakarsa, Kota Jakarta Selatan",3 KT,LT 55m²,LB 110m²,SHM
Rumah Second,"Rp1,5 M","Cakung, Kota Jakarta Timur",3 KT,LT 120m²,LB 120m²,SHM
Rumah Second,"Rp4,1 M","Pulogadung (Pulo Gadung), Kota Jakarta Timur",4 KT,LT 174m²,LB 212m²,SHM
Rumah Second,"Rp1,4 M","Duren Sawit, Kota Jakarta Timur",5 KT,LT 75m²,LB 120m²,SHM
Rumah Second,Rp15 M,"Tanjung Priok, Kota Jakarta Utara",5 KT,LT 271m²,LB 1000m²,SHM
Rumah Second,"Rp7,5 M","Pulogadung (Pulo Gadung), Kota Jakarta Timur",4 KT,LT 279m²,LB 200m²,SHM
Rumah Second,"Rp457,7 Jt","Cempaka Putih, Kota Jakarta Pusat",2 KT,LT 21m²,LB 40m²,SHM
Rumah Second,Rp458 Jt,"Jatinegara, Kota Jakarta Timur",2 KT,LT 20m²,LB 39m²,SHM
Rumah Second,"Rp3,5 M","Cakung, Kota Jakarta Timur",4 KT,LT 300m²,LB 125m²,SHM
Rumah Second,"Rp435,2 Jt","Cempaka Putih, Kota Jakarta Pusat",2 KT,LT 20m²,LB 38m²,SHM
Rumah Second,"Rp13,5 M","Kramatjati (Kramat Jati), Kota Jakarta Timur",4 KT,LT 1060m²,LB 250m²,SHM
Rumah Second,Rp1 M,"Cempaka Putih, Kota Jakarta Pusat",3 KT,LT 25m²,LB 73m²,SHM
Rumah Second,"Rp2,4 M","Duren Sawit, Kota Jakarta Timur",4 KT,LT 129m²,LB 180m²,SHM
Rumah Second,Rp500 Jt,"Jagakarsa, Kota Jakarta Selatan",2 KT,LT 30m²,LB 60m²,HGB
Rumah Second,"Rp10,5 M","Makasar, Kota Jakarta Timur",6 KT,LT 590m²,LB 300m²,SHM
Rumah Second,"Rp1,5 M","Menteng, Kota Jakarta Pusat",1 KT,LT 84m²,LB 250m²,SHM
Rumah Second,Rp361 Jt,"Matraman, Kota Jakarta Timur",2 KT,LT 18m²,LB 35m²,SHM
Rumah Second,Rp900 Jt,"Cipayung, Kota Jakarta Timur",3 KT,LT 100m²,LB 77m²,SHM
Rumah Second,"Rp370,5 Jt","Matraman, Kota Jakarta Timur",2 KT,LT 19m²,LB 37m²,SHM
Rumah Second,Rp9 M,"Cilandak, Kota Jakarta Selatan",4 KT,LT 318m²,LB 450m²,SHM
Rumah Second,"Rp5,5 M","Pasar Minggu, Kota Jakarta Selatan",5 KT,LT 211m²,LB 275m²,SHM
Rumah Second,Rp18 M,"Pesanggrahan, Kota Jakarta Selatan",5 KT,LT 1500m²,LB 700m²,SHM
Rumah Second,"Rp4,5 M","Pulogadung (Pulo Gadung), Kota Jakarta Timur",5 KT,LT 142m²,LB 200m²,SHM
Rumah Second,"Rp3,2 M","Tebet, Kota Jakarta Selatan",5 KT,LT 120m²,LB 160m²,SHM
Rumah Second,"Rp13,5 M","Cilandak, Kota Jakarta Selatan",5 KT,LT 515m²,LB 400m²,SHM
Rumah Second,"Rp1,8 M","Cakung, Kota Jakarta Timur",4 KT,LT 172m²,LB 145m²,SHM
Rumah Second,"Rp4,8 M","Kebon Jeruk, Kota Jakarta Barat",4 KT,LT 180m²,LB 275m²,SHM
Rumah Second,"Rp3,1 M","Cilandak, Kota Jakarta Selatan",5 KT,LT 123m²,LB 200m²,SHM
Rumah Second,Rp100 M,"Menteng, Kota Jakarta Pusat",6 KT,LT 879m²,LB 1000m²,SHM
Rumah Second,Rp17 M,"Pasar Minggu, Kota Jakarta Selatan",8 KT,LT 528m²,LB 800m²,SHM
Rumah Second,"Rp1,2 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 72m²,LB 100m²,SHM
Rumah Second,Rp1 M,"Pesanggrahan, Kota Jakarta Selatan",2 KT,LT 90m²,LB 100m²,SHM
Rumah Second,"Rp2,3 M","Kebayoran Lama, Kota Jakarta Selatan",6 KT,LT 140m²,LB 240m²,SHM
Rumah Second,Rp605 Jt,"Cipayung, Kota Jakarta Timur",2 KT,LT 48m²,LB 50m²,SHM
Rumah Second,"Rp2,2 M","Pasar Minggu, Kota Jakarta Selatan",5 KT,LT 107m²,LB 135m²,SHM
Rumah Second,"Rp4,5 M","Grogol Petamburan, Kota Jakarta Barat",5 KT,LT 223m²,LB 209m²,SHM
Rumah Second,Rp410 Jt,"Cipayung, Kota Jakarta Timur",2 KT,LT 45m²,LB 34m²,SHM
Rumah Second,"Rp1,7 M","Pasar Minggu, Kota Jakarta Selatan",4 KT,LT 56m²,LB 150m²,SHM
Rumah Second,Rp12 M,"Cilandak, Kota Jakarta Selatan",4 KT,LT 550m²,LB 650m²,SHM
Rumah Second,"Rp2,9 M","Matraman, Kota Jakarta Timur",12 KT,LT 295m²,LB 385m²,SHM
Rumah Second,"Rp614,2 Jt","Kemayoran, Kota Jakarta Pusat",2 KT,LT 21m²,LB 42m²,SHM
Rumah Second,"Rp2,2 M","Pesanggrahan, Kota Jakarta Selatan",4 KT,LT 150m²,LB 96m²,SHM
Rumah Second,"Rp2,5 M","Kembangan, Kota Jakarta Barat",4 KT,LT 125m²,LB 160m²,SHM
Rumah Second,"Rp4,5 M","Ciracas, Kota Jakarta Timur",4 KT,LT 300m²,LB 280m²,SHM
Rumah Second,"Rp2,3 M","Kalideres, Kota Jakarta Barat",5 KT,LT 96m²,LB 144m²,SHM
Rumah Second,"Rp4,8 M","Pesanggrahan, Kota Jakarta Selatan",5 KT,LT 180m²,LB 285m²,SHM
Rumah Second,Rp2 M,"Kembangan, Kota Jakarta Barat",4 KT,LT 105m²,LB 160m²,SHM
Rumah Second,Rp690 Jt,"Ciracas, Kota Jakarta Timur",2 KT,LT 53m²,LB 52m²,SHM
Rumah Second,"Rp2,6 M","Kelapa Gading, Kota Jakarta Utara",11 KT,LT 90m²,LB 180m²,SHM
Rumah Second,"Rp2,6 M","Kalideres, Kota Jakarta Barat",4 KT,LT 192m²,LB 186m²,SHM
Rumah Second,"Rp13,5 M","Jagakarsa, Kota Jakarta Selatan",5 KT,LT 946m²,LB 500m²,SHM
Rumah Second,Rp29 M,"Kebon Jeruk, Kota Jakarta Barat",5 KT,LT 625m²,LB 750m²,
Rumah Second,"Rp2,7 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 151m²,LB 180m²,SHM
Rumah Second,Rp13 M,"Cempaka Putih, Kota Jakarta Pusat",4 KT,LT 297m²,LB 412m²,
Rumah Second,"Rp17,5 M","Mampang Prapatan, Kota Jakarta Selatan",4 KT,LT 738m²,LB 950m²,
Rumah Second,"Rp5,9 M","Pasar Minggu, Kota Jakarta Selatan",4 KT,LT 155m²,LB 430m²,SHM
Rumah Second,"Rp2,9 M","Cipayung, Kota Jakarta Timur",5 KT,LT 170m²,LB 250m²,SHM
Rumah Second,"Rp12,5 M","Mampang Prapatan, Kota Jakarta Selatan",6 KT,LT 393m²,LB 397m²,SHM
Rumah Second,Rp975 Jt,"Kalideres, Kota Jakarta Barat",2 KT,LT 44m²,LB 78m²,SHM
Rumah Second,"Rp6,5 M","Ciracas, Kota Jakarta Timur",6 KT,LT 600m²,LB 520m²,HGB
Rumah Second,"Rp9,2 M","Cilandak, Kota Jakarta Selatan",5 KT,LT 373m²,LB 450m²,SHM
Rumah Second,"Rp1,7 M","Pulogadung (Pulo Gadung), Kota Jakarta Timur",6 KT,LT 110m²,LB 200m²,
Rumah Second,"Rp1,3 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 60m²,LB 53m²,SHM
Rumah Second,Rp155 Jt,"Kebayoran Lama, Kota Jakarta Selatan",2 KT,LT 60m²,LB 36m²,
Rumah Second,"Rp6,5 M","Cengkareng, Kota Jakarta Barat",6 KT,LT 144m²,LB 210m²,SHM
Rumah Second,"Rp37,5 M","Mampang Prapatan, Kota Jakarta Selatan",11 KT,LT 1100m²,LB 900m²,SHM
Rumah Second,"Rp2,5 M","Jagakarsa, Kota Jakarta Selatan",4 KT,LT 81m²,LB 180m²,SHM
Rumah Second,"Rp7,2 M","Duren Sawit, Kota Jakarta Timur",4 KT,LT 308m²,LB 648m²,SHM
Rumah Second,"Rp3,5 M","Cakung, Kota Jakarta Timur",4 KT,LT 198m²,LB 220m²,
Rumah Second,"Rp1,9 M","Kramatjati (Kramat Jati), Kota Jakarta Timur",3 KT,LT 76m²,LB 92m²,SHM
Rumah Second,"Rp1,1 M","Kalideres, Kota Jakarta Barat",2 KT,LT 56m²,LB 102m²,SHM
Rumah Second,"Rp2,4 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 102m²,LB 160m²,SHM
Rumah Second,"Rp2,7 M","Jagakarsa, Kota Jakarta Selatan",4 KT,LT 124m²,LB 220m²,SHM
Rumah Second,Rp700 Jt,"Tanah Abang, Kota Jakarta Pusat",3 KT,LT 84m²,LB 60m²,SHM
Rumah Second,"Rp2,3 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 96m²,LB 140m²,SHM
Rumah Second,Rp8 M,"Kebayoran Lama, Kota Jakarta Selatan",4 KT,LT 313m²,LB 404m²,SHM
Rumah Second,Rp680 Jt,"Jagakarsa, Kota Jakarta Selatan",3 KT,LT 69m²,LB 60m²,SHM
Rumah Second,"Rp1,7 M","Grogol Petamburan, Kota Jakarta Barat",4 KT,LT 90m²,LB 180m²,SHM
Rumah Second,"Rp1,6 M","Duren Sawit, Kota Jakarta Timur",4 KT,LT 135m²,LB 87m²,SHM
Rumah Second,"Rp4,2 M","Jagakarsa, Kota Jakarta Selatan",5 KT,LT 116m²,LB 350m²,SHM
Rumah Second,Rp2 M,"Cipayung, Kota Jakarta Timur",4 KT,LT 109m²,LB 150m²,SHM
Rumah Second,"Rp4,3 M","Duren Sawit, Kota Jakarta Timur",5 KT,LT 220m²,LB 300m²,SHM
Rumah Second,"Rp6,5 M","Gambir, Kota Jakarta Pusat",6 KT,LT 235m²,LB 250m²,SHM
Rumah Second,"Rp3,9 M","Tebet, Kota Jakarta Selatan",6 KT,LT 88m²,LB 180m²,SHM
Rumah Second,Rp2 M,"Kramatjati (Kramat Jati), Kota Jakarta Timur",4 KT,LT 82m²,LB 105m²,SHM
Rumah Second,"Rp6,5 M","Tanah Abang, Kota Jakarta Pusat",5 KT,LT 170m²,LB 170m²,HGB
Rumah Second,Rp775 Jt,"Pasar Rebo, Kota Jakarta Timur",3 KT,LT 50m²,LB 60m²,SHM
Rumah Second,"Rp6,7 M","Pulogadung (Pulo Gadung), Kota Jakarta Timur",3 KT,LT 232m²,LB 200m²,SHM
Rumah Second,Rp795 Jt,"Pasar Rebo, Kota Jakarta Timur",2 KT,LT 49m²,LB 60m²,SHM
Rumah Second,Rp6 M,"Tanah Abang, Kota Jakarta Pusat",4 KT,LT 126m²,LB 250m²,SHM
Rumah Second,"Rp3,5 M","Matraman, Kota Jakarta Timur",2 KT,LT 235m²,LB 250m²,SHM
Rumah Second,"Rp3,3 M","Pesanggrahan, Kota Jakarta Selatan",4 KT,LT 135m²,LB 250m²,SHM
Rumah Second,"Rp3,3 M","Cakung, Kota Jakarta Timur",5 KT,LT 126m²,LB 146m²,
Rumah Second,Rp10 M,"Cilandak, Kota Jakarta Selatan",3 KT,LT 575m²,LB 250m²,SHM
Rumah Second,Rp25 M,"Kebayoran Lama, Kota Jakarta Selatan",5 KT,LT 576m²,LB 409m²,SHM
Rumah Second,Rp65 M,"Kebayoran Lama, Kota Jakarta Selatan",5 KT,LT 1382m²,LB 1000m²,SHM
Rumah Second,"Rp7,5 M","Pal Merah (Palmerah), Kota Jakarta Barat",7 KT,LT 206m²,LB 670m²,SHM
Rumah Second,"Rp2,2 M","Duren Sawit, Kota Jakarta Timur",4 KT,LT 87m²,LB 176m²,SHM
Rumah Second,"Rp11,5 M","Kelapa Gading, Kota Jakarta Utara",5 KT,LT 190m²,LB 250m²,SHM
Rumah Second,"Rp1,1 M","Cengkareng, Kota Jakarta Barat",2 KT,LT 56m²,LB 102m²,SHM
Rumah Second,"Rp1,4 M","Duren Sawit, Kota Jakarta Timur",5 KT,LT 75m²,LB 120m²,SHM
Rumah Second,Rp2 M,"Kalideres, Kota Jakarta Barat",3 KT,LT 200m²,LB 150m²,SHM
Rumah Second,Rp900 Jt,"Cakung, Kota Jakarta Timur",3 KT,LT 101m²,LB 132m²,SHM
Rumah Second,"Rp3,5 M","Duren Sawit, Kota Jakarta Timur",5 KT,LT 126m²,LB 250m²,SHM
Rumah Second,"Rp2,7 M","Cengkareng, Kota Jakarta Barat",4 KT,LT 90m²,LB 150m²,SHM
Rumah Second,Rp890 Jt,"Ciracas, Kota Jakarta Timur",3 KT,LT 55m²,LB 75m²,SHM
Rumah Second,"Rp3,1 M","Pesanggrahan, Kota Jakarta Selatan",6 KT,LT 70m²,LB 122m²,SHM
Rumah Second,"Rp7,5 M","Jagakarsa, Kota Jakarta Selatan",4 KT,LT 294m²,LB 272m²,SHM
Rumah Second,"Rp3,5 M","Pulogadung (Pulo Gadung), Kota Jakarta Timur",3 KT,LT 150m²,LB 400m²,SHM
Rumah Second,"Rp1,9 M","Kramatjati (Kramat Jati), Kota Jakarta Timur",3 KT,LT 76m²,LB 92m²,HGB
Rumah Second,"Rp3,3 M","Cakung, Kota Jakarta Timur",3 KT,LT 186m²,LB 180m²,SHM
Rumah Second,Rp43 M,"Kebayoran Lama, Kota Jakarta Selatan",5 KT,LT 502m²,LB 800m²,SHM
Rumah Second,"Rp1,2 M","Gambir, Kota Jakarta Pusat",3 KT,LT 60m²,LB 90m²,SHM
Rumah Second,"Rp3,7 M","Pulogadung (Pulo Gadung), Kota Jakarta Timur",4 KT,LT 142m²,LB 300m²,SHM
Rumah Second,Rp1 M,"Ciracas, Kota Jakarta Timur",3 KT,LT 60m²,LB 75m²,SHM
Rumah Second,Rp15 M,"Kebayoran Lama, Kota Jakarta Selatan",5 KT,LT 400m²,LB 342m²,SHM
Rumah Second,Rp975 Jt,"Jagakarsa, Kota Jakarta Selatan",3 KT,LT 60m²,LB 100m²,SHM
Rumah Second,"Rp2,8 M","Kelapa Gading, Kota Jakarta Utara",3 KT,LT 102m²,LB 130m²,SHM
Rumah Second,Rp3 M,"Kelapa Gading, Kota Jakarta Utara",5 KT,LT 140m²,LB 200m²,SHM
Rumah Second,Rp3 M,"Kelapa Gading, Kota Jakarta Utara",5 KT,LT 140m²,LB 200m²,SHM
Rumah Second,Rp7 M,"Cilandak, Kota Jakarta Selatan",7 KT,LT 216m²,LB 375m²,SHM
Rumah Second,"Rp4,8 M","Kalideres, Kota Jakarta Barat",5 KT,LT 225m²,LB 450m²,SHM
Rumah Second,Rp10 M,"Pademangan, Kota Jakarta Utara",3 KT,LT 170m²,LB 500m²,
Rumah Second,Rp13 M,"Cempaka Putih, Kota Jakarta Pusat",4 KT,LT 260m²,LB 300m²,SHM
Rumah Second,"Rp4,5 M","Matraman, Kota Jakarta Timur",6 KT,LT 305m²,LB 150m²,SHM
Rumah Second,"Rp5,5 M","Mampang Prapatan, Kota Jakarta Selatan",3 KT,LT 119m²,LB 280m²,
Rumah Second,"Rp5,5 M","Pasar Minggu, Kota Jakarta Selatan",5 KT,LT 211m²,LB 275m²,SHM
Rumah Second,Rp620 Jt,"Jagakarsa, Kota Jakarta Selatan",3 KT,LT 33m²,LB 66m²,SHM
Rumah Second,"Rp3,3 M","Cilandak, Kota Jakarta Selatan",5 KT,LT 141m²,LB 250m²,SHM
Rumah Second,"Rp2,5 M","Cakung, Kota Jakarta Timur",3 KT,LT 98m²,LB 134m²,HGB
Rumah Second,"Rp9,9 M","Duren Sawit, Kota Jakarta Timur",5 KT,LT 444m²,LB 350m²,SHM
Rumah Second,"Rp3,9 M","Tebet, Kota Jakarta Selatan",6 KT,LT 80m²,LB 180m²,SHM
Rumah Second,"Rp1,8 M","Kramatjati (Kramat Jati), Kota Jakarta Timur",3 KT,LT 80m²,LB 85m²,SHM
Rumah Second,"Rp1,6 M","Cipayung, Kota Jakarta Timur",3 KT,LT 82m²,LB 110m²,SHM
Rumah Second,"Rp4,9 M","Tanah Abang, Kota Jakarta Pusat",3 KT,LT 115m²,LB 120m²,SHM
Rumah Second,"Rp7,5 M","Pasar Minggu, Kota Jakarta Selatan",5 KT,LT 294m²,LB 272m²,SHM
Rumah Second,"Rp3,5 M","Duren Sawit, Kota Jakarta Timur",4 KT,LT 126m²,LB 250m²,SHM
Rumah Second,"Rp3,2 M","Kebon Jeruk, Kota Jakarta Barat",5 KT,LT 137m²,LB 250m²,SHM
Rumah Second,Rp69 M,"Kebayoran Baru, Kota Jakarta Selatan",5 KT,LT 996m²,LB 500m²,SHM
Rumah Second,"Rp3,7 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 99m²,LB 300m²,SHM
Rumah Second,"Rp19,9 M","Cilandak, Kota Jakarta Selatan",4 KT,LT 630m²,LB 388m²,SHM
Rumah Second,"Rp2,4 M","Taman Sari, Kota Jakarta Barat",4 KT,LT 68m²,LB 220m²,SHM
Rumah Second,Rp12 M,"Cilandak, Kota Jakarta Selatan",8 KT,LT 1000m²,LB 600m²,SHM
Rumah Second,Rp23 M,"Cilandak, Kota Jakarta Selatan",5 KT,LT 1000m²,LB 600m²,SHM
Rumah Second,Rp16 M,"Mampang Prapatan, Kota Jakarta Selatan",4 KT,LT 740m²,LB 400m²,SHM
Rumah Second,Rp7 M,"Pal Merah (Palmerah), Kota Jakarta Barat",7 KT,LT 250m²,LB 340m²,SHM
Rumah Second,"Rp1,8 M","Cipayung, Kota Jakarta Timur",4 KT,LT 278m²,LB 170m²,SHM
Rumah Second,"Rp3,7 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 99m²,LB 300m²,SHM
Rumah Second,"Rp1,8 M","Cakung, Kota Jakarta Timur",3 KT,LT 120m²,LB 120m²,SHM
Rumah Second,"Rp1,2 M","Duren Sawit, Kota Jakarta Timur",3 KT,LT 90m²,LB 130m²,SHM
Rumah Second,"Rp1,2 M","Duren Sawit, Kota Jakarta Timur",3 KT,LT 90m²,LB 160m²,SHM
Rumah Second,"Rp3,8 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 90m²,LB 260m²,SHM
Rumah Second,"Rp1,1 M","Ciracas, Kota Jakarta Timur",3 KT,LT 68m²,LB 75m²,SHM
Rumah Second,"Rp9,5 M","Pulogadung (Pulo Gadung), Kota Jakarta Timur",6 KT,LT 281m²,LB 379m²,SHM
Rumah Second,Rp35 M,"Cilandak, Kota Jakarta Selatan",7 KT,LT 406m²,LB 650m²,SHM
Rumah Second,"Rp6,4 M","Tanah Abang, Kota Jakarta Pusat",4 KT,LT 202m²,LB 102m²,SHM
Rumah Second,"Rp1,1 M","Ciracas, Kota Jakarta Timur",3 KT,LT 68m²,LB 75m²,SHM
Rumah Second,"Rp1,1 M","Ciracas, Kota Jakarta Timur",3 KT,LT 68m²,LB 75m²,SHM
Rumah Second,"Rp7,5 M","Cilandak, Kota Jakarta Selatan",4 KT,LT 263m²,LB 350m²,SHM
Rumah Second,"Rp2,2 M","Cengkareng, Kota Jakarta Barat",3 KT,LT 90m²,LB 172m²,HGB
Rumah Second,"Rp1,8 M","Kebon Jeruk, Kota Jakarta Barat",4 KT,LT 84m²,LB 150m²,SHM
Rumah Second,Rp40 M,"Menteng, Kota Jakarta Pusat",3 KT,LT 652m²,LB 405m²,SHM
Rumah Second,Rp630 Jt,"Jagakarsa, Kota Jakarta Selatan",3 KT,LT 36m²,LB 55m²,SHM
