type,price,loc,kamar_tidur,luas_tanah,luas_bangunan,sertifikasi
Rumah Second,Rp3 M,"Kelapa Gading, Kota Jakarta Utara",5 KT,LT 90m²,LB 180m²,SHM
Rumah Second,Rp37 M,"Kebayoran Baru, Kota Jakarta Selatan",6 KT,LT 375m²,LB 800m²,SHM
Rumah Second,"Rp2,8 M","Kebayoran Lama, Kota Jakarta Selatan",3 KT,LT 154m²,LB 145m²,SHM
Rumah Second,"Rp5,8 M","Cilandak, Kota Jakarta Selatan",5 KT,LT 216m²,LB 600m²,SHM
Rumah Second,"Rp3,8 M","Pasar Minggu, Kota Jakarta Selatan",6 KT,LT 177m²,LB 200m²,SHM
Rumah Second,Rp690 Jt,"Kalideres, Kota Jakarta Barat",2 KT,LT 60m²,LB 60m²,SHM
Rumah Second,"Rp3,8 M","Pasar Minggu, Kota Jakarta Selatan",5 KT,LT 101m²,LB 220m²,SHM
Rumah Second,Rp40 M,"Menteng, Kota Jakarta Pusat",4 KT,LT 676m²,LB 420m²,SHM
Rumah Second,"Rp1,1 M","Koja, Kota Jakarta Utara",1 KT,LT 144m²,LB 90m²,SHM
Rumah Second,"Rp1,1 M","Koja, Kota Jakarta Utara",1 KT,LT 144m²,LB 90m²,SHM
Rumah Second,"Rp1,1 M","Koja, Kota Jakarta Utara",1 KT,LT 144m²,LB 90m²,SHM
Rumah Second,Rp13 M,"Pasar Minggu, Kota Jakarta Selatan",5 KT,LT 400m²,LB 400m²,SHM
Rumah Second,Rp51 M,"Menteng, Kota Jakarta Pusat",7 KT,LT 733m²,LB 850m²,
Rumah Second,"Rp1,8 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 69m²,LB 155m²,SHM
Rumah Second,Rp3 M,"Cakung, Kota Jakarta Timur",3 KT,LT 136m²,LB 170m²,SHM
Rumah Second,"Rp2,5 M","Jagakarsa, Kota Jakarta Selatan",4 KT,LT 84m²,LB 250m²,SHM
Rumah Second,"Rp4,9 M","Pesanggrahan, Kota Jakarta Selatan",8 KT,LT 378m²,LB 350m²,SHM
Rumah Second,Rp260 Jt,"Tambora, Kota Jakarta Barat",2 KT,LT 60m²,LB 55m²,SHM
Rumah Second,Rp275 Jt,"Cengkareng, Kota Jakarta Barat",2 KT,LT 60m²,LB 55m²,SHM
Rumah Second,"Rp1,4 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 65m²,LB 90m²,SHM
Rumah Second,"Rp2,5 M","Kramatjati (Kramat Jati), Kota Jakarta Timur",5 KT,LT 240m²,LB 180m²,Girik
Rumah Second,"Rp2,2 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 70m²,LB 97m²,SHM
